,fiscal_year_released,recidivism_reporting_year,main_supervising_district,releasetype,race_ethnicity,ageat_release,sex,offenseclassification,offensetype,offensesubtype,return_to_prison,recidivism_type,target_population
185,2010,2013,4JD,Parole,White - Non-Hispanic,45-54,Male,C Felony,Property,Arson,No,No Recidivism,Yes
186,2010,2013,2JD,Parole,White - Non-Hispanic,25-34,Male,Felony - Enhanced,Violent,Murder/Manslaughter,No,No Recidivism,Yes
188,2010,2013,1JD,Parole,White - Non-Hispanic,25-34,Male,C Felony,Property,Theft,No,No Recidivism,Yes
189,2010,2013,1JD,Parole,White - Non-Hispanic,25-34,Male,C Felony,Property,Theft,No,No Recidivism,Yes
190,2010,2013,5JD,Parole,White - Non-Hispanic,0-25,Male,D Felony,Public Order,Traffic,No,No Recidivism,Yes
191,2010,2013,8JD,Parole,White - Non-Hispanic,35-44,Male,C Felony,Drug,Other Drug,No,No Recidivism,Yes
192,2010,2013,3JD,Parole,White - Non-Hispanic,45-54,Male,Aggravated Misdemeanor,Drug,Drug Possession,No,No Recidivism,Yes
193,2010,2013,1JD,Parole,Black - Non-Hispanic,35-44,Male,D Felony,Drug,Other Drug,No,No Recidivism,Yes
194,2010,2013,1JD,Parole,Black - Non-Hispanic,25-34,Male,D Felony,Public Order,Sex Offender Registry/Residency,No,No Recidivism,Yes
195,2010,2013,5JD,Parole,White - Non-Hispanic,25-34,Male,C Felony,Property,Theft,No,No Recidivism,Yes
196,2010,2013,5JD,Parole,White - Non-Hispanic,25-34,Male,C Felony,Property,Theft,No,No Recidivism,Yes
197,2010,2013,5JD,Parole,Black - Non-Hispanic,25-34,Male,D Felony,Drug,Trafficking,No,No Recidivism,Yes
199,2010,2013,6JD,Parole,Black - Non-Hispanic,45-54,Male,D Felony,Public Order,Sex Offender Registry/Residency,No,No Recidivism,Yes
200,2010,2013,8JD,Parole,White - Non-Hispanic,25-34,Male,Felony - Enhanced,Violent,Sex,No,No Recidivism,Yes
201,2010,2013,8JD,Parole,White - Non-Hispanic,45-54,Male,C Felony,Drug,Trafficking,No,No Recidivism,Yes
202,2010,2013,8JD,Parole,White - Non-Hispanic,45-54,Male,C Felony,Drug,Trafficking,No,No Recidivism,Yes
203,2010,2013,8JD,Parole,White - Non-Hispanic,45-54,Male,C Felony,Drug,Trafficking,No,No Recidivism,Yes
204,2010,2013,8JD,Parole,White - Non-Hispanic,45-54,Male,C Felony,Drug,Trafficking,No,No Recidivism,Yes
205,2010,2013,8JD,Parole,White - Non-Hispanic,45-54,Male,C Felony,Drug,Trafficking,No,No Recidivism,Yes
206,2010,2013,8JD,Parole,White - Non-Hispanic,45-54,Male,C Felony,Drug,Trafficking,No,No Recidivism,Yes
207,2010,2013,8JD,Parole,White - Non-Hispanic,45-54,Male,C Felony,Drug,Trafficking,No,No Recidivism,Yes
208,2010,2013,8JD,Parole,White - Non-Hispanic,45-54,Male,C Felony,Drug,Trafficking,No,No Recidivism,Yes
209,2010,2013,8JD,Parole,White - Non-Hispanic,45-54,Male,C Felony,Drug,Trafficking,No,No Recidivism,Yes
210,2010,2013,8JD,Parole,White - Non-Hispanic,45-54,Male,C Felony,Drug,Trafficking,No,No Recidivism,Yes
212,2010,2013,2JD,Parole,White - Non-Hispanic,55 and Older,Male,D Felony,Violent,Assault,No,No Recidivism,Yes
213,2010,2013,2JD,Parole,White - Non-Hispanic,45-54,Male,D Felony,Public Order,Sex Offender Registry/Residency,No,No Recidivism,Yes
214,2010,2013,2JD,Parole,White - Non-Hispanic,45-54,Male,D Felony,Public Order,Sex Offender Registry/Residency,No,No Recidivism,Yes
215,2010,2013,6JD,Parole,White - Non-Hispanic,25-34,Male,B Felony,Violent,Murder/Manslaughter,No,No Recidivism,Yes
216,2010,2013,5JD,Parole,White - Non-Hispanic,35-44,Male,C Felony,Property,Vandalism,No,No Recidivism,Yes
221,2010,2013,8JD,Parole,White - Non-Hispanic,25-34,Male,C Felony,Property,Burglary,No,No Recidivism,Yes
222,2010,2013,1JD,Parole,White - Non-Hispanic,25-34,Male,D Felony,Violent,Assault,No,No Recidivism,Yes
223,2010,2013,1JD,Parole,White - Non-Hispanic,25-34,Male,D Felony,Violent,Assault,No,No Recidivism,Yes
224,2010,2013,3JD,Parole,White - Hispanic,0-25,Male,C Felony,Violent,Other Violent,No,No Recidivism,Yes
226,2010,2013,5JD,Parole,White - Non-Hispanic,35-44,Female,Aggravated Misdemeanor,Property,Theft,No,No Recidivism,Yes
228,2010,2013,7JD,Parole,White - Non-Hispanic,45-54,Male,D Felony,Violent,Murder/Manslaughter,No,No Recidivism,Yes
229,2010,2013,7JD,Parole,Black - Non-Hispanic,35-44,Male,D Felony,Property,Forgery/Fraud,No,No Recidivism,Yes
230,2010,2013,7JD,Parole,Black - Non-Hispanic,35-44,Male,D Felony,Property,Forgery/Fraud,No,No Recidivism,Yes
231,2010,2013,2JD,Parole,Black - Non-Hispanic,0-25,Male,D Felony,Drug,Trafficking,No,No Recidivism,Yes
232,2010,2013,7JD,Special Sentence,White - Non-Hispanic,0-25,Male,Aggravated Misdemeanor,Other,Special Sentence Revocation,No,No Recidivism,Yes
233,2010,2013,5JD,Parole,White - Non-Hispanic,45-54,Female,B Felony,Drug,Trafficking,No,No Recidivism,Yes
234,2010,2013,5JD,Parole,Black - Non-Hispanic,45-54,Male,B Felony,Other,Other Criminal,No,No Recidivism,Yes
235,2010,2013,1JD,Parole,White - Non-Hispanic,35-44,Male,D Felony,Public Order,OWI,No,No Recidivism,Yes
237,2010,2013,5JD,Parole,White - Non-Hispanic,45-54,Male,D Felony,Drug,Other Drug,No,No Recidivism,Yes
238,2010,2013,3JD,Parole,White - Non-Hispanic,35-44,Male,D Felony,Property,Burglary,No,No Recidivism,Yes
249,2010,2013,6JD,Parole,White - Non-Hispanic,45-54,Male,D Felony,Property,Burglary,No,No Recidivism,Yes
250,2010,2013,6JD,Parole,White - Non-Hispanic,45-54,Male,D Felony,Property,Burglary,No,No Recidivism,Yes
251,2010,2013,5JD,Parole,White - Hispanic,0-25,Male,D Felony,Property,Forgery/Fraud,No,No Recidivism,Yes
252,2010,2013,3JD,Parole,White - Non-Hispanic,35-44,Male,D Felony,Public Order,Traffic,No,No Recidivism,Yes
265,2010,2013,3JD,Parole,Black - Non-Hispanic,25-34,Male,D Felony,Drug,Other Drug,No,No Recidivism,Yes
272,2010,2013,8JD,Parole,White - Non-Hispanic,45-54,Male,D Felony,Drug,Drug Possession,No,No Recidivism,Yes
273,2010,2013,2JD,Parole,White - Non-Hispanic,35-44,Male,C Felony,Drug,Trafficking,No,No Recidivism,Yes
274,2010,2013,2JD,Parole,White - Non-Hispanic,35-44,Male,C Felony,Drug,Trafficking,No,No Recidivism,Yes
275,2010,2013,2JD,Parole,White - Non-Hispanic,35-44,Male,C Felony,Drug,Trafficking,No,No Recidivism,Yes
276,2010,2013,2JD,Parole,White - Non-Hispanic,35-44,Male,C Felony,Drug,Trafficking,No,No Recidivism,Yes
277,2010,2013,2JD,Parole,White - Non-Hispanic,35-44,Male,C Felony,Drug,Trafficking,No,No Recidivism,Yes
278,2010,2013,2JD,Parole,White - Non-Hispanic,35-44,Male,C Felony,Drug,Trafficking,No,No Recidivism,Yes
279,2010,2013,2JD,Parole,White - Non-Hispanic,35-44,Male,C Felony,Drug,Trafficking,No,No Recidivism,Yes
280,2010,2013,6JD,Parole,White - Non-Hispanic,45-54,Male,Felony - Enhanced,Violent,Sex,No,No Recidivism,Yes
281,2010,2013,3JD,Parole,Black - Non-Hispanic,25-34,Male,Aggravated Misdemeanor,Public Order,Sex Offender Registry/Residency,No,No Recidivism,Yes
284,2010,2013,5JD,Parole,White - Non-Hispanic,25-34,Male,D Felony,Property,Vandalism,No,No Recidivism,Yes
285,2010,2013,5JD,Parole,White - Non-Hispanic,25-34,Male,D Felony,Property,Vandalism,No,No Recidivism,Yes
286,2010,2013,5JD,Parole,Black - Non-Hispanic,25-34,Male,C Felony,Drug,Trafficking,No,No Recidivism,Yes
287,2010,2013,5JD,Parole,Black - Non-Hispanic,25-34,Male,C Felony,Drug,Trafficking,No,No Recidivism,Yes
288,2010,2013,5JD,Parole,Black - Non-Hispanic,25-34,Male,C Felony,Drug,Trafficking,No,No Recidivism,Yes
289,2010,2013,5JD,Parole,Black - Non-Hispanic,25-34,Male,C Felony,Drug,Trafficking,No,No Recidivism,Yes
290,2010,2013,5JD,Parole,Black - Non-Hispanic,25-34,Male,C Felony,Drug,Trafficking,No,No Recidivism,Yes
291,2010,2013,5JD,Parole,Black - Non-Hispanic,25-34,Male,C Felony,Drug,Trafficking,No,No Recidivism,Yes
292,2010,2013,5JD,Parole,Black - Non-Hispanic,25-34,Male,C Felony,Drug,Trafficking,No,No Recidivism,Yes
293,2010,2013,5JD,Parole,Black - Non-Hispanic,25-34,Male,C Felony,Drug,Trafficking,No,No Recidivism,Yes
294,2010,2013,5JD,Parole,Black - Non-Hispanic,25-34,Male,C Felony,Property,Theft,No,No Recidivism,Yes
295,2010,2013,5JD,Parole,Black - Non-Hispanic,25-34,Male,C Felony,Property,Theft,No,No Recidivism,Yes
296,2010,2013,1JD,Parole,White - Hispanic,45-54,Male,Aggravated Misdemeanor,Public Order,Alcohol,No,No Recidivism,Yes
297,2010,2013,1JD,Parole,White - Non-Hispanic,25-34,Male,C Felony,Property,Burglary,No,No Recidivism,Yes
300,2010,2013,7JD,Parole,White - Hispanic,25-34,Male,Felony - Enhanced,Drug,Trafficking,No,No Recidivism,Yes
301,2010,2013,7JD,Parole,White - Hispanic,25-34,Male,Felony - Enhanced,Drug,Trafficking,No,No Recidivism,Yes
302,2010,2013,8JD,Parole,White - Non-Hispanic,45-54,Male,D Felony,Violent,Assault,No,No Recidivism,Yes
303,2010,2013,8JD,Parole,White - Non-Hispanic,45-54,Male,D Felony,Violent,Assault,No,No Recidivism,Yes
305,2010,2013,7JD,Parole,Black - Non-Hispanic,25-34,Male,D Felony,Drug,Other Drug,No,No Recidivism,Yes
306,2010,2013,7JD,Parole,Black - Non-Hispanic,25-34,Male,D Felony,Drug,Other Drug,No,No Recidivism,Yes
309,2010,2013,3JD,Parole,White - Non-Hispanic,25-34,Male,D Felony,Property,Forgery/Fraud,No,No Recidivism,Yes
314,2010,2013,6JD,Parole,White - Non-Hispanic,35-44,Female,D Felony,Public Order,OWI,No,No Recidivism,Yes
317,2010,2013,7JD,Parole,White - Non-Hispanic,0-25,Male,D Felony,Public Order,Traffic,No,No Recidivism,Yes
318,2010,2013,7JD,Parole,White - Non-Hispanic,0-25,Male,C Felony,Property,Theft,No,No Recidivism,Yes
319,2010,2013,1JD,Parole,Black - Non-Hispanic,45-54,Female,Aggravated Misdemeanor,Property,Theft,No,No Recidivism,Yes
330,2010,2013,6JD,Parole,White - Non-Hispanic,0-25,Male,D Felony,Violent,Murder/Manslaughter,No,No Recidivism,Yes
339,2010,2013,3JD,Parole,White - Non-Hispanic,25-34,Male,D Felony,Property,Forgery/Fraud,No,No Recidivism,Yes
343,2010,2013,8JD,Parole,White - Non-Hispanic,0-25,Male,D Felony,Drug,Trafficking,No,No Recidivism,Yes
344,2010,2013,8JD,Parole,White - Non-Hispanic,0-25,Male,D Felony,Drug,Trafficking,No,No Recidivism,Yes
345,2010,2013,8JD,Parole,White - Non-Hispanic,0-25,Male,D Felony,Drug,Trafficking,No,No Recidivism,Yes
346,2010,2013,8JD,Parole,White - Non-Hispanic,0-25,Male,D Felony,Drug,Trafficking,No,No Recidivism,Yes
347,2010,2013,1JD,Parole,White - Non-Hispanic,35-44,Male,Felony - Enhanced,Drug,Trafficking,No,No Recidivism,Yes
348,2010,2013,1JD,Parole,White - Non-Hispanic,35-44,Male,Felony - Enhanced,Drug,Trafficking,No,No Recidivism,Yes
349,2010,2013,1JD,Parole,White - Non-Hispanic,35-44,Male,Felony - Enhanced,Drug,Trafficking,No,No Recidivism,Yes
350,2010,2013,1JD,Parole,White - Non-Hispanic,35-44,Male,Felony - Enhanced,Drug,Trafficking,No,No Recidivism,Yes
363,2010,2013,2JD,Parole,White - Hispanic,35-44,Male,D Felony,Property,Theft,No,No Recidivism,Yes
364,2010,2013,2JD,Parole,White - Non-Hispanic,35-44,Male,Felony - Enhanced,Public Order,Traffic,No,No Recidivism,Yes
366,2010,2013,8JD,Parole,White - Non-Hispanic,55 and Older,Male,D Felony,Violent,Sex,No,No Recidivism,Yes
372,2010,2013,1JD,Parole,White - Non-Hispanic,45-54,Female,C Felony,Violent,Assault,No,No Recidivism,Yes
373,2010,2013,6JD,Parole,White - Non-Hispanic,0-25,Male,D Felony,Property,Burglary,No,No Recidivism,Yes
374,2010,2013,4JD,Parole,White - Non-Hispanic,35-44,Male,D Felony,Drug,Trafficking,No,No Recidivism,Yes
377,2010,2013,8JD,Parole,White - Non-Hispanic,35-44,Male,C Felony,Drug,Trafficking,No,No Recidivism,Yes
378,2010,2013,8JD,Parole,White - Non-Hispanic,35-44,Male,C Felony,Drug,Trafficking,No,No Recidivism,Yes
379,2010,2013,8JD,Parole,White - Non-Hispanic,35-44,Male,C Felony,Drug,Trafficking,No,No Recidivism,Yes
380,2010,2013,8JD,Parole,White - Non-Hispanic,35-44,Male,C Felony,Drug,Trafficking,No,No Recidivism,Yes
381,2010,2013,8JD,Parole,White - Non-Hispanic,35-44,Male,C Felony,Drug,Trafficking,No,No Recidivism,Yes
382,2010,2013,8JD,Parole,White - Non-Hispanic,35-44,Male,C Felony,Drug,Trafficking,No,No Recidivism,Yes
383,2010,2013,8JD,Parole,White - Non-Hispanic,35-44,Male,C Felony,Drug,Trafficking,No,No Recidivism,Yes
384,2010,2013,8JD,Parole,White - Non-Hispanic,35-44,Male,C Felony,Drug,Trafficking,No,No Recidivism,Yes
385,2010,2013,8JD,Parole,White - Non-Hispanic,35-44,Male,C Felony,Drug,Trafficking,No,No Recidivism,Yes
386,2010,2013,8JD,Parole,White - Non-Hispanic,35-44,Male,C Felony,Drug,Trafficking,No,No Recidivism,Yes
389,2010,2013,2JD,Parole,White - Non-Hispanic,45-54,Male,D Felony,Public Order,OWI,No,No Recidivism,Yes
390,2010,2013,2JD,Parole,White - Non-Hispanic,45-54,Male,D Felony,Public Order,OWI,No,No Recidivism,Yes
391,2010,2013,2JD,Parole,White - Non-Hispanic,45-54,Male,D Felony,Public Order,OWI,No,No Recidivism,Yes
392,2010,2013,2JD,Parole,White - Non-Hispanic,45-54,Male,D Felony,Public Order,OWI,No,No Recidivism,Yes
393,2010,2013,2JD,Parole,White - Non-Hispanic,45-54,Male,D Felony,Public Order,OWI,No,No Recidivism,Yes
394,2010,2013,1JD,Parole,White - Non-Hispanic,35-44,Male,B Felony,Drug,Trafficking,No,No Recidivism,Yes
395,2010,2013,1JD,Parole,White - Non-Hispanic,35-44,Male,B Felony,Drug,Trafficking,No,No Recidivism,Yes
396,2010,2013,5JD,Parole,Black - Non-Hispanic,35-44,Male,D Felony,Violent,Assault,No,No Recidivism,Yes
397,2010,2013,4JD,Parole,White - Non-Hispanic,35-44,Male,B Felony,Drug,Trafficking,No,No Recidivism,Yes
398,2010,2013,4JD,Parole,White - Non-Hispanic,35-44,Male,B Felony,Drug,Trafficking,No,No Recidivism,Yes
399,2010,2013,5JD,Parole,White - Non-Hispanic,35-44,Female,B Felony,Drug,Trafficking,No,No Recidivism,Yes
400,2010,2013,5JD,Parole,White - Non-Hispanic,35-44,Female,B Felony,Drug,Trafficking,No,No Recidivism,Yes
401,2010,2013,5JD,Parole,White - Non-Hispanic,35-44,Female,B Felony,Drug,Trafficking,No,No Recidivism,Yes
402,2010,2013,5JD,Parole,White - Non-Hispanic,35-44,Female,B Felony,Drug,Trafficking,No,No Recidivism,Yes
405,2010,2013,6JD,Parole,Black - Non-Hispanic,45-54,Male,C Felony,Property,Burglary,No,No Recidivism,Yes
406,2010,2013,3JD,Parole,Black - Non-Hispanic,0-25,Male,D Felony,Drug,Other Drug,No,No Recidivism,Yes
407,2010,2013,3JD,Parole,White - Non-Hispanic,55 and Older,Male,B Felony,Drug,Trafficking,No,No Recidivism,Yes
408,2010,2013,1JD,Parole,Black - Non-Hispanic,45-54,Female,Felony - Enhanced,Drug,Trafficking,No,No Recidivism,Yes
415,2010,2013,2JD,Parole,White - Non-Hispanic,25-34,Male,Aggravated Misdemeanor,Property,Forgery/Fraud,No,No Recidivism,Yes
418,2010,2013,8JD,Parole,White - Hispanic,0-25,Male,D Felony,Drug,Trafficking,No,No Recidivism,Yes
423,2010,2013,1JD,Parole,Black - Non-Hispanic,55 and Older,Male,D Felony,Drug,Drug Possession,No,No Recidivism,Yes
424,2010,2013,1JD,Parole,Black - Non-Hispanic,55 and Older,Male,D Felony,Drug,Drug Possession,No,No Recidivism,Yes
