,fiscal_year_released,recidivism_reporting_year,releasetype,race_ethnicity,ageat_release,sex,offenseclassification,offensetype,offensesubtype,return_to_prison,days_to_return,recidivism_type,new_offenseclassification,new_offensetype,new_offensesub_type,target_population
17379,2010,2013,Parole,White - Non-Hispanic,0-25,Male,D Felony,Drug,Other Drug,Yes,494.0,New,Serious Misdemeanor,Public Order,OWI,Yes
17381,2010,2013,Parole,Black - Non-Hispanic,25-34,Male,C Felony,Drug,Trafficking,Yes,541.0,New,Felony - Enhancement to Original Penalty,Drug,Trafficking,Yes
17382,2010,2013,Discharged – End of Sentence,Black - Non-Hispanic,35-44,Male,Aggravated Misdemeanor,Violent,Assault,Yes,324.0,New,D Felony,Public Order,OWI,No
17384,2010,2013,Parole,White - Non-Hispanic,0-25,Male,D Felony,Property,Vandalism,Yes,58.0,New,Aggravated Misdemeanor,Public Order,Alcohol,Yes
17387,2010,2013,Discharged – End of Sentence,White - Non-Hispanic,45-54,Male,Aggravated Misdemeanor,Public Order,Alcohol,Yes,353.0,New,Aggravated Misdemeanor,Public Order,OWI,No
17388,2010,2013,Discharged – End of Sentence,Black - Non-Hispanic,25-34,Male,C Felony,Violent,Sex,Yes,555.0,New,D Felony,Drug,Trafficking,No
17389,2010,2013,Discharged – End of Sentence,Black - Non-Hispanic,25-34,Male,D Felony,Property,Vandalism,Yes,921.0,New,Aggravated Misdemeanor,Violent,Assault,No
17391,2010,2013,Parole,Black - Non-Hispanic,0-25,Male,C Felony,Drug,Trafficking,Yes,235.0,New,B Felony,Drug,Trafficking,Yes
17395,2010,2013,Parole,Black - Non-Hispanic,25-34,Female,C Felony,Property,Theft,Yes,442.0,New,Aggravated Misdemeanor,Property,Theft,Yes
17396,2010,2013,Parole,White - Non-Hispanic,45-54,Male,Felony - Enhanced,Drug,Trafficking,Yes,194.0,New,Felony - Enhancement to Original Penalty,Drug,Trafficking,Yes
17400,2010,2013,Discharged – End of Sentence,White - Non-Hispanic,35-44,Female,Aggravated Misdemeanor,Property,Forgery/Fraud,Yes,283.0,New,D Felony,Property,Theft,No
17401,2010,2013,Parole,White - Non-Hispanic,25-34,Male,C Felony,Drug,Trafficking,Yes,95.0,New,Serious Misdemeanor,Public Order,Flight/Escape,Yes
17403,2010,2013,Parole,Black - Non-Hispanic,45-54,Male,D Felony,Public Order,Sex Offender Registry/Residency,Yes,1037.0,New,Aggravated Misdemeanor,Public Order,Traffic,Yes
17404,2010,2013,Discharged – End of Sentence,White - Non-Hispanic,25-34,Male,C Felony,Property,Theft,Yes,500.0,New,C Felony,Violent,Robbery,No
17407,2010,2013,Discharged – End of Sentence,White - Non-Hispanic,35-44,Male,Aggravated Misdemeanor,Violent,Assault,Yes,1035.0,New,Aggravated Misdemeanor,Property,Theft,No
17409,2010,2013,Parole,White - Non-Hispanic,25-34,Male,Felony - Enhanced,Drug,Trafficking,Yes,305.0,New,D Felony,Public Order,OWI,Yes
17410,2010,2013,Discharged – End of Sentence,White - Non-Hispanic,35-44,Male,D Felony,Drug,Drug Possession,Yes,377.0,New,D Felony,Property,Theft,No
17411,2010,2013,Discharged – End of Sentence,Black - Non-Hispanic,25-34,Male,Aggravated Misdemeanor,Property,Theft,Yes,473.0,New,Aggravated Misdemeanor,Property,Vandalism,No
17412,2010,2013,Discharged – End of Sentence,White - Non-Hispanic,0-25,Male,Aggravated Misdemeanor,Public Order,Weapons,Yes,776.0,New,Aggravated Misdemeanor,Property,Vandalism,No
17413,2010,2013,Discharged – End of Sentence,White - Non-Hispanic,55 and Older,Male,D Felony,Property,Theft,Yes,411.0,New,Aggravated Misdemeanor,Public Order,Traffic,No
17415,2010,2013,Discharged – End of Sentence,White - Non-Hispanic,35-44,Male,Felony - Enhanced,Drug,Trafficking,Yes,1094.0,New,Aggravated Misdemeanor,Public Order,Traffic,No
17417,2010,2013,Parole,White - Non-Hispanic,25-34,Male,Felony - Enhanced,Property,Theft,Yes,262.0,New,Felony - Enhancement to Original Penalty,Other,Other Criminal,Yes
17418,2010,2013,Discharged – End of Sentence,American Indian or Alaska Native - Non-Hispanic,25-34,Male,C Felony,Drug,Trafficking,Yes,392.0,New,D Felony,Drug,Trafficking,No
17419,2010,2013,Parole,White - Non-Hispanic,35-44,Male,C Felony,Drug,Trafficking,Yes,470.0,New,C Felony,Drug,Trafficking,Yes
17425,2010,2013,Parole,Black - Non-Hispanic,25-34,Male,C Felony,Drug,Trafficking,Yes,457.0,New,Aggravated Misdemeanor,Property,Forgery/Fraud,Yes
17426,2010,2013,Discharged – End of Sentence,Black - Non-Hispanic,45-54,Male,Aggravated Misdemeanor,Violent,Assault,Yes,103.0,New,D Felony,Property,Burglary,No
17430,2010,2013,Parole,White - Non-Hispanic,25-34,Male,D Felony,Drug,Trafficking,Yes,383.0,New,C Felony,Drug,Trafficking,Yes
17431,2010,2013,Parole,White - Non-Hispanic,45-54,Female,Felony - Enhanced,Public Order,Flight/Escape,Yes,385.0,New,D Felony,Property,Theft,Yes
17432,2010,2013,Parole,Black - Non-Hispanic,35-44,Male,D Felony,Public Order,Flight/Escape,Yes,240.0,New,Aggravated Misdemeanor,Public Order,Traffic,Yes
17435,2010,2013,Parole,Black - Non-Hispanic,25-34,Male,C Felony,Drug,Trafficking,Yes,173.0,New,Felony - Enhancement to Original Penalty,Other,Other Criminal,Yes
17437,2010,2013,Parole,Black - Non-Hispanic,25-34,Male,C Felony,Drug,Trafficking,Yes,912.0,New,C Felony,Drug,Trafficking,Yes
17440,2010,2013,Parole,White - Non-Hispanic,25-34,Male,D Felony,Drug,Trafficking,Yes,1027.0,New,Serious Misdemeanor,Public Order,OWI,Yes
17442,2010,2013,Parole,White - Non-Hispanic,35-44,Male,Aggravated Misdemeanor,Property,Theft,Yes,1087.0,New,D Felony,Drug,Drug Possession,Yes
17443,2010,2013,Parole,Black - Non-Hispanic,25-34,Male,D Felony,Drug,Drug Possession,Yes,133.0,New,D Felony,Drug,Trafficking,Yes
17445,2010,2013,Parole,White - Non-Hispanic,35-44,Male,C Felony,Drug,Trafficking,Yes,708.0,New,Felony - Enhancement to Original Penalty,Drug,Trafficking,Yes
17446,2010,2013,Discharged – End of Sentence,White - Non-Hispanic,25-34,Male,D Felony,Violent,Assault,Yes,497.0,New,Aggravated Misdemeanor,Property,Burglary,No
17448,2010,2013,Parole,White - Non-Hispanic,35-44,Male,B Felony,Drug,Trafficking,Yes,405.0,New,B Felony,Drug,Trafficking,Yes
17449,2010,2013,Discharged – End of Sentence,White - Non-Hispanic,0-25,Male,Aggravated Misdemeanor,Violent,Assault,Yes,376.0,New,D Felony,Property,Burglary,No
17450,2010,2013,Discharged – End of Sentence,White - Non-Hispanic,0-25,Male,D Felony,Drug,Trafficking,Yes,655.0,New,Aggravated Misdemeanor,Drug,Drug Possession,No
17451,2010,2013,Parole,Black - Non-Hispanic,25-34,Male,C Felony,Drug,Trafficking,Yes,692.0,New,Felony - Enhancement to Original Penalty,Drug,Trafficking,Yes
17454,2010,2013,Parole,White - Non-Hispanic,0-25,Male,Aggravated Misdemeanor,Property,Theft,Yes,492.0,New,C Felony,Violent,Murder/Manslaughter,Yes
17455,2010,2013,Parole,White - Non-Hispanic,0-25,Male,D Felony,Violent,Assault,Yes,350.0,New,Aggravated Misdemeanor,Property,Burglary,Yes
17456,2010,2013,Parole,White - Non-Hispanic,25-34,Male,B Felony,Violent,Other Violent,Yes,366.0,New,Serious Misdemeanor,Drug,Drug Possession,Yes
17457,2010,2013,Discharged – End of Sentence,Black - Non-Hispanic,45-54,Male,D Felony,Violent,Assault,Yes,474.0,New,Aggravated Misdemeanor,Violent,Assault,No
17459,2010,2013,Parole,White - Non-Hispanic,35-44,Male,D Felony,Property,Burglary,Yes,275.0,New,Serious Misdemeanor,Public Order,Flight/Escape,Yes
17460,2010,2013,Parole,White - Non-Hispanic,45-54,Male,C Felony,Drug,Trafficking,Yes,283.0,New,D Felony,Drug,Drug Possession,Yes
17462,2010,2013,Discharged – End of Sentence,White - Non-Hispanic,45-54,Male,Aggravated Misdemeanor,Violent,Assault,Yes,763.0,New,Serious Misdemeanor,Violent,Assault,No
17465,2010,2013,Parole,White - Non-Hispanic,35-44,Female,D Felony,Property,Theft,Yes,735.0,New,D Felony,Property,Forgery/Fraud,Yes
17466,2010,2013,Discharged – End of Sentence,White - Non-Hispanic,0-25,Male,D Felony,Property,Burglary,Yes,332.0,New,Aggravated Misdemeanor,Property,Theft,No
17467,2010,2013,Discharged – End of Sentence,White - Non-Hispanic,0-25,Male,Aggravated Misdemeanor,Property,Vandalism,Yes,713.0,New,D Felony,Drug,Drug Possession,No
17473,2010,2013,Discharged – End of Sentence,White - Non-Hispanic,25-34,Male,D Felony,Public Order,OWI,Yes,474.0,New,D Felony,Public Order,OWI,No
17477,2010,2013,Discharged – End of Sentence,Black - Non-Hispanic,0-25,Male,D Felony,Property,Vandalism,Yes,881.0,New,Aggravated Misdemeanor,Public Order,Traffic,No
17478,2010,2013,Discharged – End of Sentence,White - Non-Hispanic,25-34,Male,C Felony,Drug,Trafficking,Yes,830.0,New,Aggravated Misdemeanor,Public Order,Traffic,No
17479,2010,2013,Parole,White - Non-Hispanic,55 and Older,Male,Felony - Enhanced,Drug,Trafficking,Yes,700.0,New,D Felony,Drug,Drug Possession,Yes
17480,2010,2013,Parole,Black - Non-Hispanic,0-25,Male,D Felony,Property,Burglary,Yes,228.0,New,C Felony,Property,Burglary,Yes
17482,2010,2013,Discharged – End of Sentence,White - Non-Hispanic,25-34,Male,Aggravated Misdemeanor,Violent,Sex,Yes,620.0,New,D Felony,Public Order,Other Public Order,No
17484,2010,2013,Parole,White - Non-Hispanic,35-44,Male,D Felony,Property,Theft,Yes,677.0,New,C Felony,Drug,Trafficking,Yes
17485,2010,2013,Discharged – End of Sentence,Black - Non-Hispanic,25-34,Male,C Felony,Drug,Trafficking,Yes,1040.0,New,C Felony,Property,Burglary,No
17486,2010,2013,Discharged – End of Sentence,White - Non-Hispanic,0-25,Female,Aggravated Misdemeanor,Violent,Assault,Yes,259.0,New,Simple Misdemeanor,Public Order,Other Public Order,No
17487,2010,2013,Parole,White - Non-Hispanic,35-44,Male,Aggravated Misdemeanor,Violent,Assault,Yes,795.0,New,Aggravated Misdemeanor,Violent,Assault,Yes
17490,2010,2013,Discharged – End of Sentence,White - Non-Hispanic,45-54,Male,B Felony,Violent,Murder/Manslaughter,Yes,391.0,New,D Felony,Violent,Assault,No
17493,2010,2013,Discharged – End of Sentence,Black - Non-Hispanic,35-44,Male,Serious Misdemeanor,Violent,Assault,Yes,477.0,New,Aggravated Misdemeanor,Drug,Drug Possession,No
17494,2010,2013,Discharged – End of Sentence,Black - Non-Hispanic,35-44,Male,D Felony,Property,Theft,Yes,518.0,New,Aggravated Misdemeanor,Public Order,Alcohol,No
17495,2010,2013,Discharged – End of Sentence,White - Non-Hispanic,25-34,Male,Aggravated Misdemeanor,Violent,Assault,Yes,359.0,New,D Felony,Drug,Drug Possession,No
17499,2010,2013,Discharged – End of Sentence,White - Non-Hispanic,35-44,Male,D Felony,Violent,Sex,Yes,342.0,New,D Felony,Property,Theft,No
17501,2010,2013,Discharged – End of Sentence,White - Non-Hispanic,35-44,Male,D Felony,Property,Theft,Yes,282.0,New,D Felony,Property,Forgery/Fraud,No
17502,2010,2013,Parole,Black - Non-Hispanic,45-54,Male,Aggravated Misdemeanor,Public Order,Traffic,Yes,243.0,New,Aggravated Misdemeanor,Public Order,Traffic,Yes
17503,2010,2013,Parole,White - Non-Hispanic,35-44,Male,C Felony,Property,Theft,Yes,605.0,New,C Felony,Property,Arson,Yes
17504,2010,2013,Parole,Black - Non-Hispanic,0-25,Male,D Felony,Drug,Trafficking,Yes,988.0,New,Aggravated Misdemeanor,Property,Vandalism,Yes
17505,2010,2013,Parole,White - Non-Hispanic,25-34,Male,D Felony,Property,Burglary,Yes,778.0,New,Aggravated Misdemeanor,Violent,Assault,Yes
17509,2010,2013,Parole,White - Non-Hispanic,45-54,Male,D Felony,Property,Burglary,Yes,222.0,New,Aggravated Misdemeanor,Public Order,Alcohol,Yes
17510,2010,2013,Parole,White - Non-Hispanic,0-25,Male,D Felony,Violent,Assault,Yes,184.0,New,D Felony,Violent,Assault,Yes
17512,2010,2013,Parole,White - Non-Hispanic,25-34,Male,C Felony,Property,Burglary,Yes,360.0,New,Felony - Enhancement to Original Penalty,Other,Other Criminal,Yes
17513,2010,2013,Discharged – End of Sentence,White - Non-Hispanic,25-34,Male,Aggravated Misdemeanor,Property,Burglary,Yes,1086.0,New,D Felony,Property,Theft,No
17515,2010,2013,Parole,Black - Non-Hispanic,0-25,Male,D Felony,Property,Burglary,Yes,541.0,New,C Felony,Property,Burglary,Yes
17517,2010,2013,Discharged – End of Sentence,Black - Non-Hispanic,25-34,Male,C Felony,Drug,Trafficking,Yes,531.0,New,Serious Misdemeanor,Public Order,OWI,No
17518,2010,2013,Discharged – End of Sentence,Black - Non-Hispanic,25-34,Male,Aggravated Misdemeanor,Violent,Assault,Yes,632.0,New,Aggravated Misdemeanor,Public Order,Traffic,No
17519,2010,2013,Discharged – End of Sentence,White - Non-Hispanic,35-44,Male,D Felony,Property,Arson,Yes,642.0,New,Serious Misdemeanor,Violent,Assault,No
17520,2010,2013,Discharged – End of Sentence,White - Non-Hispanic,25-34,Male,C Felony,Drug,Trafficking,Yes,382.0,New,Felony - Enhancement to Original Penalty,Drug,Trafficking,No
17521,2010,2013,Parole,White - Non-Hispanic,0-25,Male,C Felony,Drug,Trafficking,Yes,514.0,New,C Felony,Drug,Trafficking,Yes
17523,2010,2013,Parole,White - Non-Hispanic,45-54,Male,B Felony,Drug,Trafficking,Yes,882.0,New,B Felony,Drug,Trafficking,Yes
17524,2010,2013,Discharged – End of Sentence,Black - Non-Hispanic,25-34,Male,D Felony,Violent,Assault,Yes,387.0,New,D Felony,Public Order,OWI,No
17525,2010,2013,Discharged – End of Sentence,White - Non-Hispanic,45-54,Male,D Felony,Drug,Drug Possession,Yes,1075.0,New,Aggravated Misdemeanor,Violent,Assault,No
17527,2010,2013,Discharged – End of Sentence,White - Hispanic,35-44,Male,Aggravated Misdemeanor,Public Order,Alcohol,Yes,642.0,New,Serious Misdemeanor,Public Order,Alcohol,No
17530,2010,2013,Discharged – End of Sentence,Black - Non-Hispanic,45-54,Male,Aggravated Misdemeanor,Property,Forgery/Fraud,Yes,1090.0,New,Felony - Enhancement to Original Penalty,Other,Other Criminal,No
17533,2010,2013,Discharged – End of Sentence,White - Non-Hispanic,35-44,Male,C Felony,Property,Theft,Yes,603.0,New,Aggravated Misdemeanor,Property,Burglary,No
17534,2010,2013,Parole,White - Non-Hispanic,35-44,Male,D Felony,Property,Theft,Yes,424.0,New,C Felony,Drug,Trafficking,Yes
17535,2010,2013,Parole,White - Non-Hispanic,35-44,Male,D Felony,Drug,Trafficking,Yes,494.0,New,D Felony,Public Order,Traffic,Yes
17536,2010,2013,Discharged – End of Sentence,White - Non-Hispanic,0-25,Male,Aggravated Misdemeanor,Property,Burglary,Yes,152.0,New,C Felony,Property,Burglary,No
17539,2010,2013,Parole,White - Non-Hispanic,25-34,Female,D Felony,Public Order,OWI,Yes,749.0,New,D Felony,Public Order,OWI,Yes
17540,2010,2013,Discharged – End of Sentence,Black - Non-Hispanic,0-25,Male,D Felony,Property,Forgery/Fraud,Yes,918.0,New,D Felony,Public Order,Weapons,No
17544,2010,2013,Parole,Black - Non-Hispanic,45-54,Male,D Felony,Drug,Trafficking,Yes,914.0,New,Felony - Enhancement to Original Penalty,Drug,Trafficking,Yes
17545,2010,2013,Discharged – End of Sentence,White - Non-Hispanic,25-34,Male,D Felony,Drug,Other Drug,Yes,974.0,New,D Felony,Public Order,OWI,No
17546,2010,2013,Discharged – End of Sentence,White - Non-Hispanic,55 and Older,Male,Aggravated Misdemeanor,Drug,Drug Possession,Yes,326.0,New,Aggravated Misdemeanor,Public Order,Traffic,No
17548,2010,2013,Discharged – End of Sentence,Black - Non-Hispanic,25-34,Male,D Felony,Property,Burglary,Yes,612.0,New,Aggravated Misdemeanor,Violent,Assault,No
17549,2010,2013,Discharged – End of Sentence,Black - Non-Hispanic,0-25,Male,Aggravated Misdemeanor,Violent,Assault,Yes,712.0,New,Aggravated Misdemeanor,Drug,Trafficking,No
17552,2010,2013,Discharged – End of Sentence,White - Non-Hispanic,45-54,Male,D Felony,Property,Forgery/Fraud,Yes,261.0,New,D Felony,Public Order,OWI,No
17554,2010,2013,Discharged – End of Sentence,Black - Non-Hispanic,35-44,Male,D Felony,Drug,Drug Possession,Yes,624.0,New,D Felony,Violent,Assault,No
17555,2010,2013,Discharged – End of Sentence,American Indian or Alaska Native - Non-Hispanic,45-54,Male,Aggravated Misdemeanor,Violent,Assault,Yes,619.0,New,Aggravated Misdemeanor,Violent,Assault,No
17557,2010,2013,Discharged – End of Sentence,White - Non-Hispanic,25-34,Male,D Felony,Property,Theft,Yes,709.0,New,C Felony,Violent,Sex,No
17558,2010,2013,Discharged – End of Sentence,Black - Non-Hispanic,35-44,Male,D Felony,Drug,Drug Possession,Yes,267.0,New,Felony - Enhancement to Original Penalty,Drug,Trafficking,No
17560,2010,2013,Discharged – End of Sentence,White - Non-Hispanic,35-44,Male,D Felony,Property,Forgery/Fraud,Yes,733.0,New,Aggravated Misdemeanor,Property,Forgery/Fraud,No
17561,2010,2013,Parole,Black - Non-Hispanic,0-25,Male,C Felony,Property,Theft,Yes,449.0,New,D Felony,Violent,Assault,Yes
17563,2010,2013,Parole,Black - Non-Hispanic,25-34,Male,Felony - Enhanced,Drug,Trafficking,Yes,289.0,New,Felony - Enhancement to Original Penalty,Drug,Trafficking,Yes
17567,2010,2013,Discharged – End of Sentence,White - Non-Hispanic,25-34,Male,D Felony,Property,Forgery/Fraud,Yes,747.0,New,D Felony,Property,Forgery/Fraud,No
17568,2010,2013,Discharged – End of Sentence,Black - Non-Hispanic,45-54,Male,D Felony,Public Order,Sex Offender Registry/Residency,Yes,198.0,New,D Felony,Public Order,Other Public Order,No
17570,2010,2013,Discharged – End of Sentence,Black - Non-Hispanic,35-44,Male,C Felony,Violent,Robbery,Yes,916.0,New,C Felony,Drug,Trafficking,No
17573,2010,2013,Discharged – End of Sentence,White - Non-Hispanic,0-25,Male,D Felony,Property,Theft,Yes,426.0,New,D Felony,Violent,Assault,No
17574,2010,2013,Parole,White - Non-Hispanic,45-54,Male,D Felony,Property,Theft,Yes,266.0,New,Aggravated Misdemeanor,Property,Theft,Yes
17575,2010,2013,Parole,Black - Non-Hispanic,35-44,Male,Felony - Enhanced,Drug,Trafficking,Yes,254.0,New,D Felony,Drug,Drug Possession,Yes
17576,2010,2013,Parole,Black - Hispanic,25-34,Male,C Felony,Violent,Robbery,Yes,647.0,New,D Felony,Drug,Other Drug,Yes
17577,2010,2013,Discharged – End of Sentence,White - Non-Hispanic,45-54,Male,D Felony,Violent,Assault,Yes,714.0,New,Felony - Enhancement to Original Penalty,Other,Other Criminal,No
17581,2010,2013,Special Sentence,White - Non-Hispanic,55 and Older,Male,Aggravated Misdemeanor,Violent,Sex,Yes,600.0,New,Simple Misdemeanor,Public Order,Other Public Order,Yes
17582,2010,2013,Discharged – End of Sentence,White - Non-Hispanic,35-44,Male,D Felony,Property,Theft,Yes,279.0,New,D Felony,Property,Theft,No
17584,2010,2013,Discharged – End of Sentence,White - Non-Hispanic,35-44,Male,Aggravated Misdemeanor,Public Order,Sex Offender Registry/Residency,Yes,94.0,New,Aggravated Misdemeanor,Public Order,Other Public Order,No
17585,2010,2013,Discharged – End of Sentence,White - Non-Hispanic,35-44,Male,D Felony,Property,Forgery/Fraud,Yes,962.0,New,D Felony,Property,Burglary,No
17586,2010,2013,Discharged – End of Sentence,White - Hispanic,0-25,Male,D Felony,Public Order,OWI,Yes,695.0,New,Felony - Enhancement to Original Penalty,Other,Other Criminal,No
17588,2010,2013,Parole,White - Non-Hispanic,45-54,Female,Aggravated Misdemeanor,Public Order,Alcohol,Yes,509.0,New,Aggravated Misdemeanor,Public Order,Alcohol,Yes
17593,2010,2013,Discharged – End of Sentence,White - Non-Hispanic,35-44,Female,Felony - Enhanced,Property,Theft,Yes,947.0,New,Aggravated Misdemeanor,Property,Theft,No
17595,2010,2013,Parole,White - Non-Hispanic,0-25,Male,D Felony,Public Order,Traffic,Yes,170.0,New,Aggravated Misdemeanor,Public Order,Other Public Order,Yes
17596,2010,2013,Discharged – End of Sentence,White - Non-Hispanic,0-25,Male,D Felony,Property,Burglary,Yes,410.0,New,Aggravated Misdemeanor,Property,Burglary,No
17597,2010,2013,Parole,Black - Non-Hispanic,25-34,Male,C Felony,Drug,Trafficking,Yes,687.0,New,C Felony,Drug,Trafficking,Yes
17599,2010,2013,Discharged – End of Sentence,White - Non-Hispanic,25-34,Male,D Felony,Public Order,Sex Offender Registry/Residency,Yes,579.0,New,Serious Misdemeanor,Violent,Assault,No
17602,2010,2013,Parole,White - Non-Hispanic,0-25,Male,D Felony,Public Order,OWI,Yes,232.0,New,Aggravated Misdemeanor,Public Order,OWI,Yes
17603,2010,2013,Parole,White - Non-Hispanic,25-34,Male,D Felony,Property,Forgery/Fraud,Yes,874.0,New,Aggravated Misdemeanor,Drug,Drug Possession,Yes
17606,2010,2013,Parole,White - Non-Hispanic,0-25,Male,D Felony,Property,Burglary,Yes,199.0,New,D Felony,Public Order,Weapons,Yes
17607,2010,2013,Parole,White - Non-Hispanic,45-54,Male,D Felony,Violent,Assault,Yes,332.0,New,Aggravated Misdemeanor,Property,Theft,Yes
17610,2010,2013,Parole,White - Non-Hispanic,35-44,Female,B Felony,Other,Other Criminal,Yes,223.0,New,D Felony,Property,Forgery/Fraud,Yes
17612,2010,2013,Parole,Black - Non-Hispanic,25-34,Male,C Felony,Property,Burglary,Yes,1026.0,New,Aggravated Misdemeanor,Public Order,Alcohol,Yes
17614,2010,2013,Discharged – End of Sentence,White - Non-Hispanic,35-44,Male,Aggravated Misdemeanor,Violent,Assault,Yes,910.0,New,Aggravated Misdemeanor,Violent,Assault,No
17615,2010,2013,Parole,White - Non-Hispanic,35-44,Female,D Felony,Property,Forgery/Fraud,Yes,910.0,New,D Felony,Property,Forgery/Fraud,Yes
17616,2010,2013,Parole,White - Non-Hispanic,25-34,Male,D Felony,Violent,Assault,Yes,231.0,New,Serious Misdemeanor,Violent,Assault,Yes
17617,2010,2013,Parole,White - Non-Hispanic,25-34,Male,C Felony,Violent,Assault,Yes,831.0,New,Serious Misdemeanor,Violent,Assault,Yes
17621,2010,2013,Parole,White - Non-Hispanic,45-54,Female,C Felony,Drug,Trafficking,Yes,295.0,New,Felony - Enhancement to Original Penalty,Drug,Trafficking,Yes
17622,2010,2013,Discharged – End of Sentence,White - Non-Hispanic,55 and Older,Male,Aggravated Misdemeanor,Property,Theft,Yes,580.0,New,Aggravated Misdemeanor,Property,Theft,No
17623,2010,2013,Parole,White - Non-Hispanic,25-34,Male,Aggravated Misdemeanor,Public Order,OWI,Yes,682.0,New,D Felony,Drug,Drug Possession,Yes
17624,2010,2013,Discharged – End of Sentence,Black - Non-Hispanic,45-54,Male,Aggravated Misdemeanor,Violent,Assault,Yes,730.0,New,Aggravated Misdemeanor,Violent,Assault,No
17625,2010,2013,Parole,White - Non-Hispanic,45-54,Male,C Felony,Drug,Trafficking,Yes,704.0,New,D Felony,Property,Burglary,Yes
17626,2010,2013,Parole,White - Non-Hispanic,25-34,Female,D Felony,Drug,Drug Possession,Yes,889.0,New,Aggravated Misdemeanor,Drug,Drug Possession,Yes
17628,2010,2013,Discharged – End of Sentence,White - Non-Hispanic,0-25,Male,D Felony,Property,Burglary,Yes,1050.0,New,D Felony,Public Order,Weapons,No
17629,2010,2013,Parole,White - Non-Hispanic,45-54,Male,D Felony,Drug,Drug Possession,Yes,222.0,New,C Felony,Property,Burglary,Yes
17631,2010,2013,Discharged – End of Sentence,White - Non-Hispanic,45-54,Male,D Felony,Public Order,OWI,Yes,607.0,New,Aggravated Misdemeanor,Public Order,Alcohol,No
