COLLEGE,INCOME,OVERAGE,LEFTOVER,HOUSE,HANDSET_PRICE,OVER_15MINS_CALLS_PER_MONTH,AVERAGE_CALL_DURATION,REPORTED_SATISFACTION,REPORTED_USAGE_LEVEL,CONSIDERING_CHANGE_OF_PLAN,result
one,29168,89,8,177630,199,4,5,avg,very_little,considering,LEAVE
one,95213,0,0,221664,350,1,13,very_unsat,very_little,never_thought,LEAVE
zero,43854,0,0,319792,143,1,11,unsat,high,considering,LEAVE
zero,147931,259,0,184218,858,21,8,very_unsat,little,considering,LEAVE
one,37013,0,0,438901,223,0,13,very_unsat,very_high,actively_looking_into_it,LEAVE
zero,144955,272,24,183639,874,16,6,very_sat,little,no,LEAVE
zero,54329,179,31,165617,326,28,2,very_sat,little,considering,LEAVE
zero,118749,50,23,435396,662,5,6,very_unsat,high,no,LEAVE
zero,80193,0,43,353559,308,1,1,unsat,high,no,LEAVE
zero,21802,0,64,324174,140,1,2,very_sat,little,considering,LEAVE
one,88818,47,0,549081,355,4,14,very_sat,little,actively_looking_into_it,LEAVE
one,114708,160,54,405991,544,28,1,very_sat,very_high,considering,LEAVE
zero,43486,192,10,929272,183,11,12,very_sat,very_little,actively_looking_into_it,LEAVE
one,129466,60,0,672504,732,3,12,sat,very_little,actively_looking_into_it,LEAVE
zero,80197,177,7,422991,472,5,5,avg,high,actively_looking_into_it,LEAVE
zero,34584,171,0,291291,240,20,8,very_unsat,high,perhaps,LEAVE
one,47044,0,18,572935,175,0,4,unsat,very_high,considering,LEAVE
zero,65038,0,71,992519,288,1,1,very_sat,very_little,considering,LEAVE
one,47067,0,0,416648,208,1,14,sat,high,no,LEAVE
zero,33590,182,70,195022,299,21,2,very_sat,very_little,considering,LEAVE
one,39739,174,59,259609,157,25,2,very_sat,high,perhaps,LEAVE
zero,143292,0,42,339826,808,0,2,unsat,very_little,actively_looking_into_it,LEAVE
one,40849,217,0,246242,166,17,12,avg,very_high,considering,LEAVE
one,141160,223,22,985606,486,25,4,very_unsat,little,considering,LEAVE
one,81645,143,0,410669,387,10,15,very_unsat,little,never_thought,LEAVE
one,120929,215,17,195065,642,10,4,very_unsat,little,considering,LEAVE
zero,105741,0,0,820755,457,1,11,avg,little,considering,LEAVE
one,27751,0,67,380831,158,0,2,unsat,very_high,actively_looking_into_it,LEAVE
one,100881,44,24,441388,825,4,6,very_sat,little,considering,LEAVE
one,47190,64,0,297516,247,3,15,sat,little,never_thought,LEAVE
one,24539,210,0,485535,168,26,10,avg,little,considering,LEAVE
zero,132376,177,16,399301,837,22,5,very_sat,little,actively_looking_into_it,LEAVE
one,149130,68,14,950673,571,3,5,very_unsat,high,considering,LEAVE
zero,130539,205,10,347192,717,3,5,sat,little,no,LEAVE
one,35781,0,20,416332,215,1,5,very_unsat,very_high,considering,LEAVE
one,122219,0,0,948616,834,1,12,very_unsat,very_high,considering,LEAVE
one,123610,0,43,214626,552,0,1,very_unsat,very_little,actively_looking_into_it,LEAVE
zero,121083,235,0,379688,669,12,11,very_unsat,very_high,considering,LEAVE
one,91188,219,0,789630,290,27,15,very_unsat,little,never_thought,LEAVE
one,59617,270,12,560653,270,10,6,very_sat,little,no,LEAVE
zero,21115,128,43,275690,137,0,1,very_unsat,very_little,considering,LEAVE
zero,60402,199,65,199762,206,28,2,very_unsat,little,actively_looking_into_it,LEAVE
zero,53576,52,24,584765,385,4,6,very_unsat,very_little,considering,LEAVE
one,150186,0,0,178654,470,1,6,avg,very_high,actively_looking_into_it,LEAVE
one,126131,0,61,918462,724,1,2,very_unsat,very_little,no,LEAVE
zero,32200,0,0,285832,225,1,8,very_unsat,little,considering,LEAVE
one,135482,182,89,178040,702,11,2,very_unsat,very_little,actively_looking_into_it,LEAVE
zero,49242,165,51,550740,178,11,2,very_unsat,avg,considering,LEAVE
zero,45977,163,6,520324,153,29,6,very_sat,little,considering,LEAVE
one,45403,29,24,482581,224,3,5,very_unsat,little,no,LEAVE
zero,104972,0,83,323760,682,0,2,very_unsat,very_high,actively_looking_into_it,LEAVE
one,158532,179,0,615411,570,15,8,avg,little,considering,LEAVE
one,151432,149,0,403646,577,13,9,avg,little,actively_looking_into_it,LEAVE
one,103324,99,56,581093,489,1,2,very_sat,very_little,considering,LEAVE
zero,39056,194,8,719070,212,15,6,very_unsat,very_high,considering,LEAVE
zero,153000,213,41,286292,768,11,2,very_sat,little,actively_looking_into_it,LEAVE
one,24517,164,47,501532,231,20,2,unsat,high,no,LEAVE
one,126759,0,43,776094,606,1,1,very_unsat,very_high,considering,LEAVE
one,49680,197,0,313599,206,3,1,very_unsat,avg,no,LEAVE
one,40170,0,19,336895,361,1,4,very_sat,very_high,actively_looking_into_it,LEAVE
zero,124405,174,0,990756,425,22,12,unsat,very_high,actively_looking_into_it,LEAVE
one,119768,224,9,990030,628,20,5,unsat,little,considering,LEAVE
one,27535,0,10,374054,235,1,6,very_unsat,little,considering,LEAVE
zero,82147,184,36,230491,141,21,1,avg,high,actively_looking_into_it,LEAVE
one,23025,108,0,555808,130,25,9,very_unsat,very_high,actively_looking_into_it,LEAVE
zero,138323,0,85,740075,697,1,2,avg,little,considering,LEAVE
zero,141969,0,14,788712,213,1,4,very_unsat,very_high,considering,LEAVE
zero,138151,56,0,254982,729,5,9,very_unsat,very_high,considering,LEAVE
one,106211,67,16,564948,530,24,5,very_unsat,very_high,actively_looking_into_it,LEAVE
zero,62490,149,0,447404,351,22,8,very_sat,little,considering,LEAVE
one,37546,213,84,193208,150,21,9,unsat,little,considering,LEAVE
zero,51073,64,78,249257,221,3,2,very_sat,little,perhaps,LEAVE
zero,75842,206,0,187501,298,21,13,very_sat,avg,no,LEAVE
zero,126836,183,67,355799,672,20,2,very_unsat,high,considering,LEAVE
zero,136128,161,59,856530,604,20,2,very_sat,very_high,no,LEAVE
one,94715,207,0,292567,343,29,4,avg,little,considering,LEAVE
one,33282,258,14,925576,142,18,6,unsat,little,considering,LEAVE
zero,41629,44,19,192376,173,5,5,very_unsat,very_little,never_thought,LEAVE
one,49482,62,24,336082,203,5,6,very_unsat,little,actively_looking_into_it,LEAVE
zero,71279,218,0,311250,312,17,13,avg,little,actively_looking_into_it,LEAVE
zero,77448,31,88,224009,254,3,13,very_sat,very_high,no,LEAVE
zero,42470,220,0,231632,148,27,11,very_sat,high,considering,LEAVE
one,151574,128,0,705220,848,5,2,avg,little,considering,LEAVE
one,149802,62,0,574852,653,5,14,very_unsat,little,considering,LEAVE
zero,107052,223,7,990925,539,12,6,very_unsat,very_high,no,LEAVE
zero,72838,58,35,488999,259,3,1,very_unsat,avg,perhaps,LEAVE
zero,82604,221,9,513154,400,13,6,unsat,high,considering,LEAVE
zero,23852,191,13,289893,249,18,15,unsat,little,considering,LEAVE
one,137302,0,0,305734,755,0,12,very_unsat,very_little,considering,LEAVE
zero,95472,183,85,789736,367,17,1,sat,very_high,no,LEAVE
one,56649,150,29,596720,288,14,2,unsat,little,actively_looking_into_it,LEAVE
zero,37682,216,0,237262,165,15,15,very_unsat,very_high,no,LEAVE
zero,131362,194,48,864420,687,21,2,very_unsat,very_high,no,LEAVE
one,43713,0,0,312170,245,0,13,very_unsat,avg,actively_looking_into_it,LEAVE
zero,55850,218,0,181980,395,20,10,very_sat,very_high,actively_looking_into_it,LEAVE
zero,36922,75,0,447203,191,27,10,very_sat,little,considering,LEAVE
one,103605,50,76,322901,878,3,1,very_unsat,high,never_thought,LEAVE
one,131466,49,10,323414,880,5,4,unsat,very_high,considering,LEAVE
one,126497,0,7,798073,452,1,6,avg,very_little,never_thought,LEAVE
zero,62628,69,14,817429,389,0,5,very_unsat,very_high,no,LEAVE
zero,119263,182,20,434497,528,3,1,very_unsat,little,no,LEAVE
zero,64847,200,10,480179,317,22,4,very_sat,little,considering,LEAVE
one,105889,58,0,482812,421,3,12,very_unsat,very_little,considering,LEAVE
zero,30258,225,8,577227,197,21,6,avg,very_high,considering,LEAVE
zero,88695,67,0,158808,395,4,11,unsat,little,never_thought,LEAVE
zero,154696,152,0,400019,299,13,15,very_unsat,very_little,actively_looking_into_it,LEAVE
zero,49040,41,0,378773,131,5,14,very_sat,very_little,considering,LEAVE
one,21095,202,86,468232,167,16,1,very_unsat,very_high,considering,LEAVE
one,105821,120,21,225669,850,22,4,very_sat,very_little,no,LEAVE
one,137369,219,0,279082,422,27,15,avg,avg,considering,LEAVE
zero,67563,118,15,691688,299,14,5,very_unsat,very_little,no,LEAVE
one,32260,0,12,376631,352,0,4,very_sat,very_high,actively_looking_into_it,LEAVE
one,47125,51,59,183761,217,5,2,very_unsat,very_little,considering,LEAVE
zero,49663,221,0,598536,236,12,15,very_unsat,very_little,considering,LEAVE
zero,97124,0,62,301427,313,0,2,very_unsat,very_little,actively_looking_into_it,LEAVE
zero,102970,219,58,195252,696,16,2,avg,very_high,considering,LEAVE
zero,79054,165,12,177411,351,27,4,avg,very_little,actively_looking_into_it,LEAVE
zero,103029,0,35,897923,436,1,2,very_sat,very_high,actively_looking_into_it,LEAVE
one,39839,0,0,498578,203,1,15,unsat,little,no,LEAVE
zero,74203,174,35,269405,349,24,2,very_sat,little,actively_looking_into_it,LEAVE
zero,78880,46,6,336514,334,5,6,very_unsat,little,considering,LEAVE
zero,97893,212,0,275692,315,0,10,very_unsat,very_little,considering,LEAVE
zero,82996,0,0,150125,386,1,14,very_sat,very_high,considering,LEAVE
zero,46154,0,45,309170,229,0,2,very_sat,little,considering,LEAVE
one,21873,101,5,328132,178,3,5,unsat,little,considering,LEAVE
zero,55484,219,13,561083,303,11,6,very_sat,very_little,considering,LEAVE
zero,71442,126,70,447746,275,28,14,very_unsat,high,considering,LEAVE
zero,46274,224,0,172600,190,15,12,very_unsat,very_little,actively_looking_into_it,LEAVE
zero,150733,0,48,621231,678,0,1,very_unsat,very_little,no,LEAVE
one,65409,186,5,470440,336,22,5,very_sat,little,no,LEAVE
zero,94549,99,50,249786,254,13,1,very_sat,little,no,LEAVE
one,68159,178,0,449453,292,23,15,very_sat,very_high,considering,LEAVE
one,153177,59,0,477308,536,3,9,sat,high,considering,LEAVE
one,52232,138,0,209527,362,24,14,very_sat,little,no,LEAVE
one,53581,234,0,584366,395,29,9,avg,very_little,never_thought,LEAVE
one,23837,0,0,496573,211,1,10,very_sat,very_little,actively_looking_into_it,LEAVE
one,30007,0,0,305287,190,0,13,very_unsat,little,considering,LEAVE
zero,96997,216,16,627174,328,22,1,unsat,little,considering,LEAVE
one,29617,0,87,924585,298,1,1,avg,little,considering,LEAVE
one,143122,217,20,502318,859,18,4,unsat,little,perhaps,LEAVE
zero,149178,209,89,185537,240,26,5,unsat,very_little,considering,LEAVE
zero,21890,0,0,333230,218,0,6,unsat,little,actively_looking_into_it,LEAVE
one,51924,0,13,293022,309,0,4,avg,very_high,no,LEAVE
one,88826,0,0,204327,273,0,14,very_sat,little,considering,LEAVE
one,46311,0,0,795188,153,1,8,very_unsat,very_little,considering,LEAVE
zero,56115,161,0,379828,337,18,8,very_unsat,very_high,actively_looking_into_it,LEAVE
zero,54895,225,0,590830,304,16,15,very_unsat,very_high,no,LEAVE
zero,73074,153,0,411312,391,27,10,very_unsat,very_high,considering,LEAVE
zero,151366,221,82,775221,553,24,1,very_sat,little,considering,LEAVE
one,39993,0,19,531353,244,1,6,very_sat,very_little,actively_looking_into_it,LEAVE
zero,26092,57,16,205542,178,3,6,very_unsat,very_little,considering,LEAVE
one,28981,169,18,569499,239,10,6,unsat,little,considering,LEAVE
one,23449,52,81,650513,208,3,4,very_unsat,high,considering,LEAVE
one,104726,164,0,264178,473,24,12,very_unsat,very_high,actively_looking_into_it,LEAVE
one,151155,74,0,169335,744,3,14,very_unsat,very_high,no,LEAVE
one,147937,201,0,313443,889,18,14,unsat,very_little,actively_looking_into_it,LEAVE
zero,128237,76,52,900542,432,4,2,very_unsat,very_high,considering,LEAVE
one,132891,61,18,951069,662,4,4,very_sat,avg,considering,LEAVE
zero,29174,201,66,158650,178,26,1,unsat,little,considering,LEAVE
one,67983,191,0,207208,384,19,14,very_unsat,very_high,no,LEAVE
one,108586,0,29,943974,712,0,1,avg,little,no,LEAVE
one,89672,214,59,231264,271,27,2,unsat,little,never_thought,LEAVE
zero,159536,0,63,738333,896,0,1,unsat,very_little,considering,LEAVE
zero,111435,0,71,428106,621,0,2,very_unsat,very_little,actively_looking_into_it,LEAVE
zero,40042,0,0,460643,193,1,10,avg,little,considering,LEAVE
one,91851,198,70,217315,552,13,2,sat,little,considering,LEAVE
one,131717,205,84,562874,630,24,1,very_unsat,high,perhaps,LEAVE
one,94016,47,0,330128,376,3,10,very_unsat,very_high,actively_looking_into_it,LEAVE
one,157976,0,57,742255,588,0,1,avg,very_little,no,LEAVE
one,83204,197,52,503106,373,13,1,unsat,very_high,considering,LEAVE
one,26446,56,0,222689,240,3,10,unsat,little,considering,LEAVE
one,28885,0,15,572327,228,1,14,very_unsat,high,never_thought,LEAVE
one,158353,174,21,812932,719,13,6,very_unsat,little,actively_looking_into_it,LEAVE
one,62138,194,58,441201,216,13,1,very_unsat,little,no,LEAVE
zero,28357,168,67,180058,185,17,2,very_unsat,very_little,considering,LEAVE
one,32678,0,66,151069,220,1,1,very_unsat,very_little,considering,LEAVE
zero,40965,64,17,205210,206,4,6,very_unsat,little,actively_looking_into_it,LEAVE
one,117887,0,39,541554,630,1,2,unsat,little,no,LEAVE
zero,111757,193,0,625435,798,25,9,very_sat,little,no,LEAVE
zero,77316,0,29,228148,293,10,1,very_unsat,little,considering,LEAVE
one,43313,46,0,957517,159,4,11,unsat,very_little,actively_looking_into_it,LEAVE
one,159273,221,17,473121,592,15,4,unsat,very_high,no,LEAVE
zero,123995,0,0,732469,511,1,14,unsat,very_high,considering,LEAVE
one,45438,223,54,334673,171,20,1,very_sat,high,no,LEAVE
one,49114,237,85,696823,197,1,1,unsat,little,considering,LEAVE
zero,83947,58,74,215552,377,23,2,very_sat,little,never_thought,LEAVE
zero,147410,161,0,227336,461,4,8,unsat,little,perhaps,LEAVE
one,23537,50,0,641569,375,3,15,very_unsat,little,no,LEAVE
zero,98453,64,68,185101,255,4,2,very_unsat,very_little,perhaps,LEAVE
one,82947,226,69,509306,379,24,1,very_unsat,high,perhaps,LEAVE
one,27331,0,42,337906,217,1,1,unsat,high,considering,LEAVE
one,31799,238,44,246763,232,20,1,very_sat,very_little,considering,LEAVE
zero,121710,25,17,557764,687,5,4,very_sat,little,considering,LEAVE
one,46225,176,19,263891,246,23,4,very_unsat,avg,actively_looking_into_it,LEAVE
zero,134498,0,0,235495,461,1,11,unsat,high,no,LEAVE
zero,27739,168,0,524347,217,25,10,unsat,very_little,actively_looking_into_it,LEAVE
zero,149362,74,50,967417,624,4,2,unsat,high,considering,LEAVE
zero,134900,217,0,153118,673,27,15,very_unsat,very_high,actively_looking_into_it,LEAVE
zero,43759,163,55,241472,212,10,2,very_unsat,little,actively_looking_into_it,LEAVE
one,52599,209,33,464939,321,1,1,very_unsat,very_little,no,LEAVE
zero,122135,45,17,319450,781,5,4,very_unsat,very_little,considering,LEAVE
one,28239,0,0,410188,394,1,13,very_sat,very_high,never_thought,LEAVE
zero,117878,55,0,260962,473,12,12,very_sat,little,perhaps,LEAVE
zero,27888,176,0,242119,228,28,6,unsat,high,considering,LEAVE
one,155799,45,0,545642,432,1,12,very_sat,very_little,actively_looking_into_it,LEAVE
one,29069,0,57,370641,209,0,1,very_unsat,little,considering,LEAVE
one,23756,184,0,927687,197,15,10,very_unsat,very_little,no,LEAVE
one,130516,176,14,312724,871,11,4,sat,very_high,considering,LEAVE
one,150246,239,69,184259,481,11,12,sat,little,no,LEAVE
one,155625,172,12,907618,885,26,5,very_sat,little,perhaps,LEAVE
one,61243,174,0,998519,381,25,15,unsat,little,considering,LEAVE
zero,52943,38,16,675198,277,5,6,unsat,very_high,actively_looking_into_it,LEAVE
zero,27385,185,0,885827,199,13,14,very_unsat,very_little,no,LEAVE
one,36180,0,0,222379,290,0,15,avg,very_high,considering,LEAVE
one,142895,183,0,529329,610,13,10,very_unsat,little,never_thought,LEAVE
one,24992,0,0,474396,240,0,11,very_unsat,little,actively_looking_into_it,LEAVE
zero,107481,63,31,162506,451,3,1,sat,very_little,no,LEAVE
zero,21040,216,79,209060,202,20,2,unsat,little,no,LEAVE
one,144388,81,34,898636,557,4,1,very_unsat,little,considering,LEAVE
zero,46681,207,16,449569,154,4,6,very_unsat,very_little,considering,LEAVE
one,137703,0,32,211248,626,0,9,very_unsat,high,considering,LEAVE
zero,80358,72,13,742211,259,3,4,very_sat,very_little,never_thought,LEAVE
one,114178,185,0,509062,504,29,9,very_unsat,high,actively_looking_into_it,LEAVE
one,118844,49,77,175092,647,4,1,very_sat,very_little,considering,LEAVE
zero,46762,213,0,451911,357,18,15,very_unsat,very_high,considering,LEAVE
zero,46633,57,15,496161,231,5,5,very_unsat,little,perhaps,LEAVE
one,20949,0,50,482071,168,0,2,very_sat,very_little,no,LEAVE
zero,124960,0,75,989309,351,1,2,very_unsat,little,considering,LEAVE
one,128026,0,0,185791,727,0,11,very_unsat,little,never_thought,LEAVE
one,129464,139,0,250838,675,21,1,very_unsat,very_high,considering,LEAVE
one,20326,88,0,890153,240,5,11,very_unsat,very_high,considering,LEAVE
one,148349,0,70,444371,716,1,4,very_unsat,very_little,never_thought,LEAVE
zero,45258,61,87,247355,359,5,9,very_unsat,very_high,no,LEAVE
one,37219,186,0,228331,131,29,11,very_unsat,very_little,considering,LEAVE
one,20233,160,0,252195,163,24,5,very_sat,little,no,LEAVE
zero,126178,69,16,790978,792,5,5,very_sat,little,never_thought,LEAVE
one,123176,220,0,172466,819,17,14,avg,very_high,actively_looking_into_it,LEAVE
one,149673,69,5,298950,771,3,4,very_unsat,little,actively_looking_into_it,LEAVE
one,105622,178,0,278281,434,18,13,sat,very_high,actively_looking_into_it,LEAVE
one,48377,60,11,239012,215,1,6,very_unsat,very_high,considering,LEAVE
one,35045,58,19,371235,140,3,6,very_sat,high,considering,LEAVE
one,121020,0,75,195566,523,0,2,very_sat,very_high,considering,LEAVE
one,20007,36,23,251334,217,4,6,very_sat,little,no,LEAVE
one,89439,47,7,475034,376,4,6,very_unsat,very_high,actively_looking_into_it,LEAVE
one,41537,33,33,293095,175,4,2,unsat,very_little,considering,LEAVE
zero,125049,0,0,517315,557,1,9,unsat,very_high,considering,LEAVE
zero,149008,201,0,865600,487,27,15,unsat,avg,considering,LEAVE
one,136426,195,23,241994,573,4,1,very_sat,very_high,considering,LEAVE
one,148790,0,57,709354,679,0,6,very_sat,very_little,considering,LEAVE
one,28776,60,8,590968,238,5,5,very_unsat,high,considering,LEAVE
zero,109784,193,34,347258,654,19,2,sat,very_little,considering,LEAVE
zero,114070,45,78,558303,209,5,1,very_sat,little,no,LEAVE
zero,143904,51,52,183639,448,1,8,very_sat,avg,considering,LEAVE
one,126485,156,0,155016,701,25,8,very_sat,little,considering,LEAVE
one,44468,232,12,180545,131,5,6,unsat,very_little,perhaps,LEAVE
zero,131085,145,0,627963,790,15,9,very_sat,little,considering,LEAVE
zero,112219,192,0,992777,655,16,9,unsat,avg,considering,LEAVE
zero,102682,65,13,447901,697,5,2,very_sat,very_little,no,LEAVE
zero,22626,54,0,232977,202,5,15,unsat,little,considering,LEAVE
